sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
1337,Orissa,Dispensary,Jagatsinghpur,"Medical Officer Incharge, E.S.I. Dispensary, Paradeep, At/Po: Atharbanki, Via: Paradeep Port, Dist: Jagatsinghpur",False,,,
1338,Orissa,Dispensary,Orissa,"Medical Officer Incharge, ESI Dispensary, Plot No. 518/2476, Mouza Patharmunda, PS NTPC Township PO Kaniha, Dist Angul",False,,,
1339,Orissa,Dispensary,Town,ESI Dispensary Ferro chrome Jajpur Road,False,,,
1340,Orissa,Dispensary,Cuttack,"Medical Officer Incharge, E.S.I. Dispensary, Kaparia, At/PO-Kalyan Nagar, Dist:- Cuttack Pin-753013",False,,,
1341,Orissa,Dispensary,Ganjam,"Medical Officer Incharge, E.S.I. Dispensary, Ganjam, At/PO-Ganjam, Dist:- Ganjam",False,,,
1342,Orissa,Dispensary,Sundergarh,"Medical Officer Incharge, E.S.I. Dispensary, Kalunga, At/PO-Kalunga, Dist:- Sundergarh",False,,,
1343,Orissa,Dispensary,Orissa,"ESI Dispensary Jharsuguda, L.M.D. I/C, PO Jharsuguda-768204, Dist Jharsuguda, Orissa",False,,,
1344,Orissa,Dispensary,Cuttack,"Medical Officer Incharge, E.S.I. Dispensary, At: Tangi, P.O: Kotasahi, Cuttack",False,,,
1345,Orissa,Dispensary,Meramundali,"Insurance Medical Officer I/C E.S.I. Dispensary, Meramundali, At/Post: Meramundali (Near BSNL Telephone Exchange), Dist. Dhenkanal",False,,,
1346,Orissa,Dispensary,Choudwar,"Medical Officer Incharge, ESI Dispensary, At- TPM Area, P.O.-Daulatabad, Choudwar, Dist.-Cuttack",False,,,
1347,Orissa,Dispensary,Khuntuni,"Medical Officer Incharge, ESI Dispensary, At: Ramsel, PO Khuntuni, Dist Cuttack-754029",False,,,
1348,Orissa,Dispensary,Basudevpur,"H/O - AN Pattnaik, At: PITHABALI, Basudevpur P.O, Chhendipada, Dist: Angul",False,,,
1349,Orissa,Dispensary,Orissa,"Medical Officer InCharge, ESI Dispensary, Damanjodi, Dist: Koraput",False,,,
1350,Orissa,Branch Office,Balasore,"The Manager, Branch office, E.S.I Corporation, -H/0 Dr. S.S. Acharya (1st Floor), At: Ranipatna Chack, Near Veterinary Office, DIST: BALASORE -756001 Ph: 06782-263324",False,,,
1351,Orissa,Branch Office,Bargarh,"The Manager, Branch office, E.S.I Corporation, H/o- Dr. P.K. Das, Khajurtikra, Near Geography High School, BARGARH-768028, Ph: 06646-234125",False,,,
1352,Orissa,Branch Office,Bolangir,"The Manager, Branch office, E.S.I Corporation, House of sri Artatrana boau, Braja Bhumi, NH-224, Pusudag, Dist -Bolangir, Pin-767001, Mob-9938480302",False,,,
1353,Orissa,Branch Office,Cuttack,"The Manager, Branch office, E.S.I Corporation, Cuttack, H/o- Dr. Nimai Banerjee, At- Pithapur, Po-Buxi Bazar, Dist- Cuttack-753001, Ph:- 0671-2421324",False,,,
1354,Orissa,Branch Office,Cuttack,"The Manager, Branch office, E.S.I Corporation, Besides Tahsil Office, Jagatpur, Dist: 754021",False,,,
1355,Orissa,Branch Office,Cuttack,"The Manager, Branch office, E.S.I Corporation, ESIC Complex, P.O.: Charbatia, Choudwar, Cuttack, Ph: 0671-2494152",False,,,
1356,Orissa,Branch Office,Cuttack,"The Manager, Branch office, E.S.I Corporation, ESIC Complex, Po.: Charbatia, Choudwar, Cuttack- 754071, Ph: 0671-2494152",True,esic.gov.in,Branch Offices ( BO) | Employee's State Insurance Corporation ... - ESIC,https://www.esic.gov.in/orissa
1357,Orissa,Branch Office,Dhenkanal,"The Manager, Branch office, E.S.I Corporation, H/o- Sh. R.K. Pattanaik, At- Meena Bazar, Jagannath Road, P.O. / Dist: Dhenkanal-759027, 06762-224160",False,,,
1358,Orissa,Branch Office,Ganjam,"The Manager, Branch office, E.S.I Corporation, Dharma Nagar, Main Road, BERHAMPUR, Dist: Ganjam",False,,,
1359,Orissa,Branch Office,Jagatsinghpur,"The Manager, Branch office, E.S.I Corporation, Qr.No. 30/12, PPT Atharbanki, Paradeep Port Trust, Paradeep, Dist: Jagatsinghpur-75410, Ph- 06722-211129",False,,,
1360,Orissa,Branch Office,Jajpur,"The Manager, Branch office, E.S.I Corporation, H/o- Sri R. Jena, Chandikhol Chhack, P.O: Sunguda, Dharmasala, Dist: Jajpur, 754024, Ph: 06725-221850",False,,,
1361,Orissa,Branch Office,Jajpur,"The Manager, Branch office, E.S.I Corporation, H/o- Satrua Mani Sahoo, Belesokha, Chhila Road, P.O: Dala Jajpur Road, Dist: Jajpur",False,,,
1362,Orissa,Branch Office,Koraput,"The Manager, Branch office, E.S.I Corporation, H/o- Shri Dalakrishna Sahoo, New Street, 4th Lane, Jeypore, Koraput, Ph: 06854-232185",False,,,
1363,Orissa,Branch Office,Puri,"The Manager, Branch office, E.S.I Corporation, Shrishrashree Lane, Near Atharnala, P.O. / Dist- Puri, Ph: 06752-220190",False,,,
1364,Orissa,Branch Office,Keonjhar,"The Manager, Branch office, E.S.I Corporation, Plot No. A/22, At: Kalinga Nagar, P.O: Matkambeda, Barbil, Dist: Keonjhar-758036, Ph - 06767-277541",False,,,
1365,Orissa,Branch Office,Bhubaneswar,"The Manager, Branch office, E.S.I Corporation, Plot No: A/12, Near Railway level Cossing, Bhubaneswar-751007, Ph: 0674-2549127",False,,,
1366,Orissa,Branch Office,Khurda,"The Manager, Branch office, E.S.I Corporation, H/o: Krupasindhu Sahoo, Near Bus Stand, Behnd Syndicate Bank, Mathusudan Nagar, P.O: Pallahat, Dist:- Khurda-752056.",False,,,
1367,Orissa,Branch Office,Angul,"The Manager, Branch office, E.S.I Corporation, H/o- B.B. Biswal, At/PO- Baniyagol, Dist: Angul,",False,,,
1368,Orissa,Branch Office,Jharsuguda,"The Manager, Branch office, E.S.I Corporation, ESIC DISPANSARY BOMBAY CHHAK, Jharsuguda- Pin - 06645-272857",False,,,
1369,Orissa,Branch Office,Sambalpur,"The Manager, Branch office, E.S.I Corporation, At/Po-Hirakud, Near hindalco smelter Plant, Dist - Sambalpur-768016",False,,,
1370,Orissa,Branch Office,Rourktla,"The Manager, Branch office, E.S.I Corporation, ESIC Specialist Center, Rourkela -769004, Dist: Sundergarh ,Ph: 0661-2504858",False,,,
1371,Orissa,Branch Office,Sundergarh,"The Manager, branch office, E.S.I Corporation, H/O Sashi singh Chhabra, Opposite of Salmandir, ITI chawk, Vedvyas, Rourkela, Odisha",False,,,
1372,Orissa,Branch Office,Sundergarh,"The Manager, Branch office, E.S.I Corporation, At/P.O: Rajgangpur, Dist:- Sundergarh-770017, Ph: 06624-220359",False,,,
1373,Orissa,Branch Office,Raygada,"The Manager, Branch office, E.S.I Corporation, At/Po - J. K. pur, Dist- Rayagada - 765017, Ph: 06856-233120",False,,,
1376,Puducherry,Hospital,Gorimedu,ESIS Hospital Gorimedu Pondicherry-6,False,,,
1377,Puducherry,Dispensary,Ariyankuppam,"Medical officer incharge, ESI dispensary, Ariyankuppam, Puducherry",False,,,
1378,Puducherry,Dispensary,Debassynpet,"No 3, Bharathidasan Street, Muthialpet,Puducherry 605003",False,,,
1379,Puducherry,Dispensary,Kirumampakkam,"Medical officer incharge, ESI dispensary, Agasparlar Road, Kirumampakkam, Puducherry",False,,,
1380,Puducherry,Dispensary,Muthirappalyam,"Medical officer incharge, ESI dispensary, No 87, Rajanal Madom street, Muthirapalyam, Puducherry",False,,,
